"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","991","TC-CART-002: Remove item from cart","firefox","2026-02-11","passed","2026-02-11","Cart Tests","cart.spec.js","",""
"","5742","TC-CART-001: Cart displays added items correctly","webkit","2026-02-11","passed","2026-02-11","Cart Tests","cart.spec.js","",""
"","857","TC-CHECKOUT-006: Checkout summary is displayed correctly","chromium","2026-02-11","passed","2026-02-11","Checkout Tests","checkout.spec.js","",""
"","920","TC-INV-004: Sort products by price low to high","chromium","2026-02-11","passed","2026-02-11","Inventory Page Tests","inventory.spec.js","",""
"","971","TC-CART-003: Continue shopping returns to inventory page","chromium","2026-02-11","passed","2026-02-11","Cart Tests","cart.spec.js","",""
"","2239","TC-CART-002: Remove item from cart","webkit","2026-02-11","passed","2026-02-11","Cart Tests","cart.spec.js","",""
"","1049","TC-CHECKOUT-001: Complete checkout successfully","chromium","2026-02-11","passed","2026-02-11","Checkout Tests","checkout.spec.js","",""
"","1102","TC-CART-002: Remove item from cart","Mobile Chrome","2026-02-11","passed","2026-02-11","Cart Tests","cart.spec.js","",""
"","4661","TC-LOGOUT-003: Can login again after logout","Mobile Chrome","2026-02-11","passed","2026-02-11","Logout Tests","logout.spec.js","",""
"","2330","TC-INV-002: Sort products by name A to Z","webkit","2026-02-11","passed","2026-02-11","Inventory Page Tests","inventory.spec.js","",""
"","1131","TC-CHECKOUT-006: Checkout summary is displayed correctly","firefox","2026-02-11","passed","2026-02-11","Checkout Tests","checkout.spec.js","",""
"","2135","TC-LOGOUT-002: Cannot access inventory after logout","firefox","2026-02-11","passed","2026-02-11","Logout Tests","logout.spec.js","",""
"","2317","TC-INV-005: Sort products by price high to low","webkit","2026-02-11","passed","2026-02-11","Inventory Page Tests","inventory.spec.js","",""
"","2458","TC-LOGOUT-001: Logout returns to login page","Mobile Safari","2026-02-11","passed","2026-02-11","Logout Tests","logout.spec.js","",""
"","1379","TC-CHECKOUT-001: Complete checkout successfully","Mobile Chrome","2026-02-11","passed","2026-02-11","Checkout Tests","checkout.spec.js","",""
"","1801","TC-CART-002: Remove item from cart","Mobile Safari","2026-02-11","passed","2026-02-11","Cart Tests","cart.spec.js","",""
"","1890","TC-INV-003: Sort products by name Z to A","Mobile Safari","2026-02-11","passed","2026-02-11","Inventory Page Tests","inventory.spec.js","",""
"","1059","TC-CHECKOUT-002: Error when first name is empty","Mobile Chrome","2026-02-11","passed","2026-02-11","Checkout Tests","checkout.spec.js","",""
"","1157","TC-INV-002: Sort products by name A to Z","Mobile Chrome","2026-02-11","passed","2026-02-11","Inventory Page Tests","inventory.spec.js","",""
"","1035","TC-INV-007: Add multiple products to cart","chromium","2026-02-11","passed","2026-02-11","Inventory Page Tests","inventory.spec.js","",""
